Model,ModelType,RMSE,MAE,MAPE_percent,Theil_U2
Naive forecast,Baseline,3.02929458433591,2.067924242424245,2.108350313402601,1.8177606051379551
Moving average (12) forecast,Baseline,3.1510801094541296,2.331169276094295,2.3636423923006125,1.8905920382705037
"ARIMA(4,1,0) [best_bic]",ARIMA,5.715909152630495,4.929437610429495,4.979487669445718,3.4299102286698147
"ARIMA(1,1,3) [bic_rank_2]",ARIMA,5.82378640020963,5.020104227333131,5.070778161390164,3.494645009340601
"ARIMA(1,1,2) [bic_rank_3]",ARIMA,5.886836431475446,5.0600335152755544,5.111913821951338,3.5324793262897396
