Model,ME,RMSE,MAE,MPE_percent,MAPE_percent,Theil_U2,AIC,BIC,HQIC,LjungBox_pvalue_lag10,JB_pvalue,Skew,Kurtosis,ResidualMean,ResidualStd
"ARIMA(4,1,0) [best_bic]",-3.67650737541427,5.715909152630495,4.929437610429495,-3.763010287012206,4.979487669445718,3.4299102286698147,539.4216430184513,563.17219117663,548.8393166131351,0.5767825254744937,0.0,18.078891852316524,348.9152104833353,0.09524619520795834,2.8397418621067216
"ARIMA(1,1,3) [bic_rank_2]",-3.7961605021477287,5.82378640020963,5.020104227333131,-3.882686964166229,5.070778161390164,3.494645009340601,538.7692462143398,562.5197943725185,548.1869198090236,1.9995423211751264e-06,0.0,14.117218103069986,281.63228502782783,0.08258205167983577,3.016692271571111
"ARIMA(1,1,2) [bic_rank_3]",-3.9001903540382408,5.886836431475446,5.0600335152755544,-3.986097235393667,5.111913821951338,3.5324793262897396,544.9142833987219,564.7193100968383,552.7666748786922,3.603383980355909e-07,0.0,13.514291970659588,273.2463330930724,0.07859516614525724,3.045614577807721
