date,forecast,lower_95,upper_95
2025-12-01,101.91720803049382,100.22745019937577,103.60696586161188
2026-01-01,102.00516222532322,99.33006804720723,104.6802564034392
2026-02-01,102.09099394106741,98.80407475677048,105.37791312536434
2026-03-01,102.18980461411701,98.42501052430862,105.9545987039254
2026-04-01,102.28943710468177,98.06732441569328,106.51154979367026
2026-05-01,102.38596070298861,97.7345391751411,107.03738223083613
2026-06-01,102.48173096069823,97.44088943879622,107.52257248260024
2026-07-01,102.5782886659506,97.17960323583569,107.9769740960655
2026-08-01,102.67513103836062,96.94008379693855,108.41017827978268
2026-09-01,102.77179547107593,96.71794889694976,108.8256420452021
